"","Country name","Year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","Confidence in national government","Democratic Quality","Delivery Quality","Standard deviation of ladder by country-year","Standard deviation/Mean of ladder by country-year","gini of household income reported in Gallup, by wp5-year"
"74","El Salvador",2017,6.33931827545166,8.89459609985352,0.828952610492706,65.8000030517578,0.757827341556549,-0.17079296708107,0.777748584747314,0.848850607872009,0.268448352813721,0.270235061645508,-0.0469647720456123,-0.470085859298706,2.47715592384338,0.390760630369186,0.402195245027542
"75","El Salvador",2018,6.27624607086182,8.91195869445801,0.823999166488647,66.0999984741211,0.863207280635834,-0.0967869088053703,0.826600015163422,0.871536493301392,0.265370607376099,0.323992043733597,NA,NA,2.51637411117554,0.400936186313629,0.444246530532837
"76","Estonia",2017,5.93839597702026,10.2915096282959,0.935686349868774,68.4000015258789,0.861749231815338,-0.104597918689251,0.668402254581451,0.805217981338501,0.160164102911949,0.405946254730225,0.936887979507446,1.32073378562927,1.85183990001678,0.311841756105423,0.396599620580673
"77","Estonia",2018,6.09130239486694,10.324107170105,0.932693779468536,68.5999984741211,0.885618388652802,-0.144664913415909,0.620677947998047,0.794730246067047,0.163182109594345,0.42020258307457,NA,NA,1.76292371749878,0.289416551589966,0.36719486117363
"78","Ethiopia",2017,4.18031549453735,7.45583438873291,0.733539760112762,58,0.717101216316223,0.00751884281635284,0.756898939609528,0.608514785766602,0.304436177015305,0.768354296684265,-1.56467723846436,-0.678986608982086,1.82991588115692,0.437745869159698,0.42026749253273
"79","Ethiopia",2018,4.37926244735718,7.52451658248901,0.740154504776001,58.5,0.74034309387207,0.0432735048234463,0.799466252326965,0.659520864486694,0.271753966808319,0.875270962715149,NA,NA,1.94581115245819,0.444323927164078,0.440552592277527
"80","Finland",2017,7.78825187683105,10.6111717224121,0.963826417922974,71.8000030517578,0.962198972702026,-0.00569597538560629,0.192412778735161,0.787137091159821,0.176065787672997,0.597538590431213,1.31100702285767,1.99989986419678,1.41639828681946,0.181863442063332,0.425614446401596
"81","Finland",2018,7.85810708999634,10.6360597610474,0.962155044078827,71.9000015258789,0.937807381153107,-0.131735160946846,0.198604837059975,0.781546413898468,0.181780651211739,0.555102229118347,NA,NA,1.42561233043671,0.181419298052788,0.36229419708252
"82","France",2017,6.63522243499756,10.5611543655396,0.9314945936203,73.5999984741211,0.83389014005661,-0.127377018332481,0.601486027240753,0.762097775936127,0.241983935236931,0.374793529510498,0.679978489875793,1.30175757408142,1.63106441497803,0.245819106698036,0.372855246067047
"83","France",2018,6.66590356826782,10.5733518600464,0.921463072299957,73.8000030517578,0.816377222537994,-0.141567125916481,0.581775307655334,0.767313420772552,0.28245136141777,0.380547434091568,NA,NA,1.59904932975769,0.239884853363037,0.360965639352798
"84","Gabon",2017,4.78238296508789,9.71489143371582,0.806941151618958,59.2000007629395,0.652359545230865,-0.247073993086815,0.868305504322052,0.634047150611877,0.446124285459518,0.286989241838455,-0.571620047092438,-0.803622364997864,2.45713114738464,0.513788044452667,0.589230179786682
