Name,Condition,Price,Purchase Option,Shipping Cost
FIX FIGURATION METAL COMPOSITE O Gundam (actual deployment type) limited item,Brand New,$590.00,Buy It Now,+$20.00 shipping
RX-78-02 40th Anniversary FIGURE GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02,Brand New,$299.99,Buy It Now,+$15.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE WING GUNDAM ZERO EW Ver. in stock,Brand New,$638.63,Buy It Now,+$49.01 shipping
Used Gundam Fix Figuration Metal Composite RX78-02 the Origin Re:Package Bandai,Pre-Owned,$191.45,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE O Gundam (combat deployment type) Limited,Brand New,$788.00,Buy It Now,+$33.00 shipping
Bandai Gundam Fix Figuration Metal Composite Psyco Gundam Gloss color ver New,Brand New,$219.99,Buy It Now,+$30.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Mobile Suit Gundam MS-06C Zaku II C ,Brand New,$249.00,Buy It Now,+$12.00 shipping
BANDAI GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Zero (EW version),Pre-Owned,$542.46,or Best Offer,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Zero EW version Premium Bandai,Brand New,$744.98,Buy It Now,Free Shipping
AUS Bandai Gundam Fix Figuration Metal Composite RX-78-02 40th Anniversary,Brand New,$284.98,Buy It Now,+$41.53 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-0 Unicorn Gundam Unit 2 Banshii,Brand New,$228.66,Buy It Now,+$48.01 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam (40th Anniversary Ver.) Ab,Brand New,$250.09,Buy It Now,+$110.26 shipping
NEW BANDAI GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S CHAR's ZAKU II Figure,Brand New,$319.16,Buy It Now,+$30.00 shipping
NEW GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam 40th Anniversary Ver.,Brand New,$292.99,or Best Offer,+$8.50 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE # 1003 Psycho  Gundam Mk-2,Brand New,$339.87,Buy It Now,+$30.00 shipping
Bandai Tamashii Nations Gundam Fix Figuration Metal Composite Rx-0 Banshee Acti,Brand New,$251.50,Buy It Now,+$40.00 shipping
