Symbol,Date,Time,Open Time,Open Bid Price,Open Bid Size,Open Ask Price,Open Ask Size,High Bid Time,High Bid Price,High Bid Size,Ask Price at High Bid,Ask Size at High Bid,Low Ask Time,Bid Price at Low Ask,Bid Size at Low Ask,Low Ask Price,Low Ask Size,Close Time,Close Bid Price,Close Bid Size,Close Ask Price,Close Ask Size,Max. Spread,Min. Spread,NBBO Count
GLP,03/04/2014,09:58,09:57:10.580,38.69,1,38.8,49,09:57:10.580,38.69,1,38.8,49,09:57:10.916,38.69,1,38.79,1,09:57:11.926,38.69,1,38.84,1,0.15,0.10,5
GLP,03/04/2014,10:02,10:01:07.370,38.69,1,38.84,49,10:01:07.370,38.69,1,38.84,49,10:01:07.402,38.69,1,38.83,1,10:01:07.402,38.69,1,38.83,1,0.15,0.14,2
GLP,03/04/2014,10:07,10:06:06.281,38.69,1,38.83,49,10:06:06.281,38.69,1,38.83,49,10:06:06.314,38.69,1,38.82,1,10:06:06.314,38.69,1,38.82,1,0.14,0.13,2
GLP,03/04/2014,10:09,10:08:24.097,38.69,1,38.82,49,10:08:24.097,38.69,1,38.82,49,10:08:41.200,38.69,1,38.81,1,10:08:41.200,38.69,1,38.81,1,0.13,0.12,2
GLP,03/04/2014,10:15,10:14:07.788,38.69,1,38.81,49,10:14:07.788,38.69,1,38.81,49,10:14:07.788,38.69,1,38.81,49,10:14:07.788,38.69,1,38.81,49,0.12,0.12,1
GLP,03/04/2014,10:17,10:16:23.239,38.69,1,38.8,1,10:16:23.239,38.69,1,38.8,1,10:16:23.239,38.69,1,38.8,1,10:16:23.239,38.69,1,38.8,1,0.11,0.11,1
GLP,03/04/2014,10:21,10:20:18.737,38.69,1,38.8,2,10:20:18.737,38.69,1,38.8,2,10:20:18.737,38.69,1,38.8,2,10:20:18.737,38.69,1,38.8,2,0.11,0.11,1
GLP,03/04/2014,10:23,10:22:30.160,38.69,1,38.8,1,10:22:30.160,38.69,1,38.8,1,10:22:30.160,38.69,1,38.8,1,10:22:31.197,38.69,1,38.8,2,0.11,0.11,2
GLP,03/04/2014,10:25,10:24:20.573,38.69,1,38.8,1,10:24:20.573,38.69,1,38.8,1,10:24:20.581,38.69,1,38.79,1,10:24:20.581,38.69,1,38.79,1,0.11,0.10,3
GLP,03/04/2014,10:28,10:27:13.054,38.69,1,38.79,3,10:27:13.054,38.69,1,38.79,3,10:27:13.054,38.69,1,38.79,3,10:27:13.054,38.69,1,38.79,3,0.10,0.10,1
GLP,03/04/2014,10:31,10:30:02.901,38.69,1,38.79,2,10:30:02.901,38.69,1,38.79,2,10:30:02.901,38.69,1,38.79,2,10:30:02.901,38.69,1,38.79,2,0.10,0.10,1
GLP,03/04/2014,10:33,10:32:37.865,38.69,1,38.79,1,10:32:37.865,38.69,1,38.79,1,10:32:37.865,38.69,1,38.79,1,10:32:37.891,38.69,1,38.89,1,0.21,0.10,5
GLP,03/04/2014,10:34,10:33:37.990,38.69,1,38.89,49,10:33:37.990,38.69,1,38.89,49,10:33:42.136,38.69,1,38.86,1,10:33:42.136,38.69,1,38.86,1,0.20,0.17,2
GLP,03/04/2014,10:38,10:37:35.689,38.69,1,38.7,1,10:37:35.689,38.69,1,38.7,1,10:37:35.689,38.69,1,38.7,1,10:37:35.694,38.69,1,38.86,1,0.17,0.01,3
GLP,03/04/2014,10:40,10:39:01.603,38.69,1,38.86,49,10:39:01.603,38.69,1,38.86,49,10:39:08.105,38.69,1,38.8,1,10:39:08.105,38.69,1,38.8,1,0.17,0.11,4
GLP,03/04/2014,10:50,10:49:52.305,38.7,1,38.8,1,10:49:52.305,38.7,1,38.8,1,10:49:52.305,38.7,1,38.8,1,10:49:52.305,38.7,1,38.8,1,0.10,0.10,1
